tid,yr,doy
7A.MUSK.,2015,137
7A.MUSK.,2015,138
7A.MUSK.,2015,139
7A.MUSK.,2015,140
7A.MUSK.,2015,141
7A.MUSK.,2015,142
7A.MUSK.,2015,145
7A.MUSK.,2015,295
7A.MUSK.,2015,296
7A.MUSK.,2015,297
7A.MUSK.,2015,298
7A.MUSK.,2015,299
7A.MUSK.,2015,300
7A.MUSK.,2015,301
7A.MUSK.,2015,302
7A.MUSK.,2015,355
7A.MUSK.,2015,356
7A.MUSK.,2015,357
7A.MUSK.,2015,358
7A.MUSK.,2015,359
7A.MUSK.,2015,360
7A.MUSK.,2015,361
7A.MUSK.,2015,362
7A.NAZF.,2015,1
7A.NAZF.,2015,2
7A.NAZF.,2015,3
7A.NAZF.,2015,4
7A.NAZF.,2015,5
7A.NAZF.,2015,135
7A.NAZF.,2015,136
7A.NAZF.,2015,137
7A.NAZF.,2015,138
7A.NAZF.,2015,139
7A.NAZF.,2015,140
7A.NAZF.,2015,141
7A.NAZF.,2015,142
7A.NAZF.,2015,143
7A.NAZF.,2015,144
7A.NAZF.,2015,145
7A.NAZF.,2015,295
7A.NAZF.,2015,296
7A.NAZF.,2015,297
7A.NAZF.,2015,298
7A.NAZF.,2015,299
7A.NAZF.,2015,355
7A.NAZF.,2015,356
7A.NAZF.,2015,357
7A.NAZF.,2015,358
7A.NAZF.,2015,359
7A.PAUL.,2015,295
7A.PAUL.,2015,296
7A.PAUL.,2015,297
7A.PAUL.,2015,298
7A.PAUL.,2015,299
7A.PAUL.,2015,355
7A.PAUL.,2015,356
7A.PAUL.,2015,357
7A.PAUL.,2015,358
7A.PAUL.,2015,359
7A.PETO.,2015,1
7A.PETO.,2015,2
7A.PETO.,2015,3
7A.PETO.,2015,4
7A.PETO.,2015,5
7A.PETO.,2015,135
7A.PETO.,2015,136
7A.PETO.,2015,137
7A.PETO.,2015,138
7A.PETO.,2015,139
7A.PETO.,2015,140
7A.PETO.,2015,141
7A.PETO.,2015,142
7A.PETO.,2015,295
7A.PETO.,2015,296
7A.PETO.,2015,297
7A.PETO.,2015,298
7A.PETO.,2015,299
7A.PETO.,2015,355
7A.PETO.,2015,356
7A.PETO.,2015,357
7A.PETO.,2015,358
7A.PETO.,2015,359
7A.PVGR.,2015,1
7A.PVGR.,2015,2
7A.PVGR.,2015,3
7A.PVGR.,2015,4
7A.PVGR.,2015,135
7A.PVGR.,2015,136
7A.PVGR.,2015,137
7A.PVGR.,2015,138
7A.PVGR.,2015,139
7A.PVGR.,2015,140
7A.PVGR.,2015,141
7A.PVGR.,2015,142
7A.PVGR.,2015,295
7A.PVGR.,2015,296
7A.PVGR.,2015,297
7A.PVGR.,2015,298
7A.PVGR.,2015,299
7A.PVGR.,2015,355
7A.PVGR.,2015,356
7A.PVGR.,2015,357
7A.PVGR.,2015,358
7A.PVGR.,2015,359
7A.RTSN.,2014,360
7A.RTSN.,2014,361
7A.RTSN.,2014,362
7A.RTSN.,2014,363
7A.RTSN.,2014,364
7A.RTSN.,2014,365
7A.RTSN.,2015,1
7A.RTSN.,2015,2
7A.RTSN.,2015,3
7A.RTSN.,2015,4
7A.RTSN.,2015,135
7A.RTSN.,2015,136
7A.RTSN.,2015,137
7A.RTSN.,2015,138
7A.RTSN.,2015,139
7A.RTSN.,2015,140
7A.RTSN.,2015,141
7A.RTSN.,2015,142
7A.RTSN.,2015,295
7A.RTSN.,2015,296
7A.RTSN.,2015,297
7A.RTSN.,2015,298
7A.RTSN.,2015,299
7A.RTSN.,2015,355
7A.RTSN.,2015,356
7A.RTSN.,2015,357
7A.RTSN.,2015,358
7A.RTSN.,2015,359
7A.RTSN.,2015,360
7A.RTSN.,2015,361
7A.SUSI.,2015,1
7A.SUSI.,2015,2
7A.SUSI.,2015,3
7A.SUSI.,2015,4
7A.SUSI.,2015,135
7A.SUSI.,2015,136
7A.SUSI.,2015,137
7A.SUSI.,2015,138
7A.SUSI.,2015,139
7A.SUSI.,2015,140
7A.SUSI.,2015,141
7A.SUSI.,2015,142
7A.SUSI.,2015,295
7A.SUSI.,2015,296
7A.SUSI.,2015,297
7A.SUSI.,2015,298
7A.SUSI.,2015,299
7A.SUSI.,2015,355
7A.SUSI.,2015,356
7A.SUSI.,2015,357
7A.SUSI.,2015,358
7A.SUSI.,2015,359
7A.TRTF.,2014,360
7A.TRTF.,2014,361
7A.TRTF.,2014,362
7A.TRTF.,2014,363
7A.TRTF.,2014,364
7A.TRTF.,2014,365
7A.TRTF.,2015,1
7A.TRTF.,2015,2
7A.TRTF.,2015,3
7A.TRTF.,2015,4
7A.TRTF.,2015,5
7A.TRTF.,2015,135
7A.TRTF.,2015,136
7A.TRTF.,2015,137
7A.TRTF.,2015,138
7A.TRTF.,2015,139
7A.TRTF.,2015,140
7A.TRTF.,2015,141
7A.TRTF.,2015,142
7A.TRTF.,2015,143
7A.TRTF.,2015,144
7A.TRTF.,2015,145
7A.WINE.,2015,1
7A.WINE.,2015,2
7A.WINE.,2015,3
7A.WINE.,2015,4
7A.WINE.,2015,135
7A.WINE.,2015,136
7A.WINE.,2015,137
7A.WINE.,2015,138
7A.WINE.,2015,139
7A.WINE.,2015,140
7A.WINE.,2015,141
7A.WINE.,2015,142
7A.WINE.,2015,295
7A.WINE.,2015,296
7A.WINE.,2015,297
7A.WINE.,2015,298
7A.WINE.,2015,299
7A.WINE.,2015,355
7A.WINE.,2015,356
7A.WINE.,2015,357
7A.WINE.,2015,358
7A.WINE.,2015,359
7A.WIRE.,2015,1
7A.WIRE.,2015,2
7A.WIRE.,2015,3
7A.WIRE.,2015,4
7A.WIRE.,2015,135
7A.WIRE.,2015,136
7A.WIRE.,2015,137
7A.WIRE.,2015,138
7A.WIRE.,2015,139
7A.WIRE.,2015,140
7A.WIRE.,2015,141
7A.WIRE.,2015,142
7A.WIRE.,2015,295
7A.WIRE.,2015,296
7A.WIRE.,2015,297
7A.WIRE.,2015,298
7A.WIRE.,2015,299
7A.WIRE.,2015,355
7A.WIRE.,2015,356
7A.WIRE.,2015,357
7A.WIRE.,2015,358
7A.WIRE.,2015,359
7A.WLFT.,2015,1
7A.WLFT.,2015,2
7A.WLFT.,2015,3
7A.WLFT.,2015,4
7A.WLFT.,2015,135
7A.WLFT.,2015,136
7A.WLFT.,2015,137
7A.WLFT.,2015,138
7A.WLFT.,2015,139
7A.WLFT.,2015,140
7A.WLFT.,2015,141
7A.WLFT.,2015,295
7A.WLFT.,2015,296
7A.WLFT.,2015,297
7A.WLFT.,2015,298
7A.WLFT.,2015,299
7A.WLFT.,2015,355
7A.WLFT.,2015,356
7A.WLFT.,2015,357
7A.WLFT.,2015,358
7A.WLFT.,2015,359
7A.WTMN.,2015,1
7A.WTMN.,2015,2
7A.WTMN.,2015,3
7A.WTMN.,2015,4
7A.WTMN.,2015,135
7A.WTMN.,2015,136
7A.WTMN.,2015,137
7A.WTMN.,2015,138
7A.WTMN.,2015,139
7A.WTMN.,2015,140
7A.WTMN.,2015,141
7A.WTMN.,2015,295
7A.WTMN.,2015,296
7A.WTMN.,2015,297
7A.WTMN.,2015,298
7A.WTMN.,2015,355
7A.WTMN.,2015,356
7A.WTMN.,2015,357
7A.WTMN.,2015,358
7A.WTMN.,2015,359
7A.YLDA.,2015,1
7A.YLDA.,2015,2
7A.YLDA.,2015,3
7A.YLDA.,2015,4
7A.YLDA.,2015,135
7A.YLDA.,2015,136
7A.YLDA.,2015,137
7A.YLDA.,2015,138
7A.YLDA.,2015,139
7A.YLDA.,2015,140
7A.YLDA.,2015,141
7A.YLDA.,2015,295
7A.YLDA.,2015,296
7A.YLDA.,2015,297
7A.YLDA.,2015,298
7A.YLDA.,2015,355
7A.YLDA.,2015,356
7A.YLDA.,2015,357
7A.YLDA.,2015,358
7A.YLDA.,2015,359
7D.FC03D.,2015,1
7D.FC03D.,2015,2
7D.FC03D.,2015,3
7D.FC03D.,2015,4
7D.FC03D.,2015,135
7D.FC03D.,2015,136
7D.FC03D.,2015,137
