shard_id,basis,files,survivors,planned,with_picks,recorded,lost
2019054-2019074-602180ee03ff,plan up to the resumed attempt's first day (progress overwritten),8,4,286,285,153,148
2012071-2012091-4b0fc9f00b09,plan up to the resumed attempt's first day (progress overwritten),5,3,272,172,59,148
2018239-2018259-0cae12e6b282,plan up to the resumed attempt's first day (progress overwritten),6,3,266,236,116,144
2014240-2014260-684787a9e0e5,plan up to the resumed attempt's first day (progress overwritten),9,3,250,328,240,142
2018179-2018199-fe9201992769,plan up to the resumed attempt's first day (progress overwritten),7,4,285,229,100,140
2015135-2015155-adbad99375b2,plan up to the resumed attempt's first day (progress overwritten),12,2,187,183,144,139
2019094-2019114-cb3f9338e08f,plan up to the resumed attempt's first day (progress overwritten),8,5,352,300,100,136
2013145-2013165-259b1bb88c7f,plan up to the resumed attempt's first day (progress overwritten),11,5,308,379,218,134
2014340-2014360-d54962cd9b4c,plan up to the resumed attempt's first day (progress overwritten),5,2,224,180,100,134
2020089-2020109-4de51f5215b4,plan up to the resumed attempt's first day (progress overwritten),6,1,154,186,183,134
2013305-2013325-b5edd9147739,plan up to the resumed attempt's first day (progress overwritten),5,2,208,200,120,120
2013365-2014020-d90a06cf8827,plan up to the resumed attempt's first day (progress overwritten),13,10,527,497,115,120
2013165-2013185-e9ff2c5a4fe2,plan up to the resumed attempt's first day (progress overwritten),7,2,216,240,160,120
2012191-2012211-3dcd280e24be,plan up to the resumed attempt's first day (progress overwritten),6,3,255,220,100,120
2021243-2021263-229c6b065a16,plan up to the resumed attempt's first day (progress overwritten),13,2,140,218,206,118
2012271-2012291-df6ccc0e564f,plan up to the resumed attempt's first day (progress overwritten),6,3,240,217,98,117
2015115-2015135-adc266708b9b,plan up to the resumed attempt's first day (progress overwritten),7,5,304,256,80,112
2015315-2015335-b2c535c9d921,plan up to the resumed attempt's first day (progress overwritten),6,4,288,240,80,112
2016150-2016170-a6d312a8893c,plan up to the resumed attempt's first day (progress overwritten),10,8,432,363,60,111
2013365-2014020-9faa9f4b384f,plan up to the resumed attempt's first day (progress overwritten),10,1,150,354,331,109
2012151-2012171-a147765080cd,plan up to the resumed attempt's first day (progress overwritten),7,4,272,234,82,104
2012331-2012351-9079f591457b,plan up to the resumed attempt's first day (progress overwritten),10,7,384,370,97,103
2014020-2014040-0624447cd529,plan up to the resumed attempt's first day (progress overwritten),10,7,375,384,120,101
2024028-2024048-159424da46f0,plan up to the resumed attempt's first day (progress overwritten),6,2,152,184,140,100
2015355-2016010-daa6fa0e6086,plan up to the resumed attempt's first day (progress overwritten),3,1,144,93,53,99
2018239-2018259-69b557f9b5da,plan up to the resumed attempt's first day (progress overwritten),13,4,261,483,340,95
2015295-2015315-b89c490704d3,plan up to the resumed attempt's first day (progress overwritten),7,1,144,240,200,94
2010361-2011016-6e3c2a7a62d1,plan up to the resumed attempt's first day (progress overwritten),3,1,132,95,60,93
2013085-2013105-ccd11334df5a,plan up to the resumed attempt's first day (progress overwritten),7,3,216,268,160,92
2012351-2013005-9cacf2ad2748,plan up to the resumed attempt's first day (progress overwritten),4,1,132,97,57,91
2014360-2015015-c07c9e044c78,plan up to the resumed attempt's first day (progress overwritten),14,6,187,227,138,89
2012271-2012291-b726ed8af417,plan up to the resumed attempt's first day (progress overwritten),12,9,448,472,120,88
