shard_id,prog_worker,comp_worker,checkpointed_records,manifest_records,station_days,picks_record,surviving_files_not_in_manifest,manifest_files,records_not_in_manifest,records_without_picks_anywhere
2013325-2013345-5df06011d046,ip-172-31-20-52.us-east-2.compute.internal:17,ip-172-31-3-143.us-east-2.compute.internal:17,120,22,200,22,3,1,120,21
2025322-2025342-554f8f755619,ip-172-31-17-190.us-east-2.compute.internal:15,ip-172-31-45-170.us-east-2.compute.internal:15,320,19,700,19,8,1,320,21
2025322-2025342-45ab8e0aebcb,ip-172-31-14-118.us-east-2.compute.internal:15,ip-172-31-46-154.us-east-2.compute.internal:15,320,20,620,20,8,1,320,21
2020329-2020349-61475e131746,ip-172-31-25-246.us-east-2.compute.internal:16,ip-172-31-44-52.us-east-2.compute.internal:16,160,20,280,20,4,1,160,21
2012111-2012131-e82f9727f096,ip-172-31-2-168.us-east-2.compute.internal:15,ip-172-31-21-173.us-east-2.compute.internal:17,160,20,220,20,4,1,160,21
2025142-2025162-2eae24b67beb,ip-172-31-16-122.us-east-2.compute.internal:17,ip-172-31-23-217.us-east-2.compute.internal:17,40,20,520,20,1,1,40,21
2024288-2024308-87f8e108e37d,ip-172-31-0-46.us-east-2.compute.internal:16,ip-172-31-25-61.us-east-2.compute.internal:17,160,22,600,22,7,3,160,20
2019134-2019154-5b07a004d569,ip-172-31-27-10.us-east-2.compute.internal:15,ip-172-31-17-127.us-east-2.compute.internal:15,200,20,520,20,5,1,200,20
2018179-2018199-5ebfcb8898a3,ip-172-31-21-143.us-east-2.compute.internal:16,ip-172-31-7-233.us-east-2.compute.internal:16,120,37,320,37,3,1,120,20
2015015-2015035-0c18c29a07da,ip-172-31-28-21.us-east-2.compute.internal:17,ip-172-31-12-232.us-east-2.compute.internal:15,240,20,260,20,6,1,240,19
2020329-2020349-1f6266b9a6a0,ip-172-31-1-190.us-east-2.compute.internal:15,ip-172-31-25-14.us-east-2.compute.internal:15,40,20,580,20,1,1,40,19
