id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date,state
8J.78.,8J,78,,EH,38.5103,-112.866608,1734.5,2016.349,2017.015,Utah
8J.79.,8J,79,,EH,38.510399,-112.859123,1759.4,2016.349,2017.015,Utah
8J.8.,8J,8,,EH,38.420399,-112.975677,1500.5,2016.349,2017.015,Utah
8J.80.,8J,80,,EH,38.515621,-112.903976,1573.8,2016.349,2017.015,Utah
8J.81.,8J,81,,EH,38.515598,-112.896744,1591.2,2016.349,2017.015,Utah
8J.82.,8J,82,,EH,38.515709,-112.889122,1627.0,2016.349,2017.015,Utah
8J.83.,8J,83,,EH,38.515949,-112.881599,1658.5,2016.349,2017.015,Utah
8J.84.,8J,84,,EH,38.515968,-112.874237,1680.7,2016.349,2017.015,Utah
8J.85.,8J,85,,EH,38.516109,-112.866837,1719.2,2016.349,2017.015,Utah
8J.86.,8J,86,,EH,38.516209,-112.859253,1750.4,2016.349,2017.015,Utah
8J.87.,8J,87,,EH,38.52145,-112.904297,1558.5,2016.349,2017.015,Utah
8J.88.,8J,88,,EH,38.52153,-112.896843,1584.0,2016.349,2017.015,Utah
8J.89.,8J,89,,EH,38.52169,-112.889282,1610.7,2016.349,2017.015,Utah
8J.9.,8J,9,,EH,38.431492,-112.926201,1610.1,2016.349,2017.015,Utah
8J.90.,8J,90,,EH,38.521702,-112.881767,1641.1,2016.349,2017.015,Utah
8J.91.,8J,91,,EH,38.52174,-112.874397,1668.7,2016.349,2017.015,Utah
8J.92.,8J,92,,EH,38.52206,-112.866859,1700.0,2016.349,2017.015,Utah
8J.93.,8J,93,,EH,38.522141,-112.859322,1742.3,2016.349,2017.015,Utah
8L.MG00.,8L,MG00,,DP,50.63626,-123.40807,470.0,2019.188,2019.214,British Columbia (Ca)
8L.MG01.,8L,MG01,,DP,50.60462,-123.41161,902.0,2019.19,2019.216,British Columbia (Ca)
8L.MG02.,8L,MG02,,DP,50.64072,-123.51139,2548.0,2019.19,2019.215,British Columbia (Ca)
8L.MG03.,8L,MG03,,DP,50.62653,-123.46885,1910.0,2019.189,2019.288,British Columbia (Ca)
8L.MG04.,8L,MG04,,DP,50.58922,-123.46811,1127.0,2019.189,2019.266,British Columbia (Ca)
8L.MG05.,8L,MG05,,DP,50.64132,-123.5547,1978.0,2019.189,2019.215,British Columbia (Ca)
8L.MG06.,8L,MG06,,DP,50.6236,-123.48434,2081.0,2019.192,2019.288,British Columbia (Ca)
8L.MG07.,8L,MG07,,DP,50.67776,-123.47342,671.0,2019.19,2019.263,British Columbia (Ca)
8L.MG08.,8L,MG08,,DP,50.59293,-123.49815,1761.0,2019.19,2019.215,British Columbia (Ca)
8L.MG09.,8L,MG09,,DP,50.5868,-123.55324,1600.0,2019.189,2019.215,British Columbia (Ca)
8L.MG10.,8L,MG10,,DP,50.637,-123.48003,1489.0,2019.189,2019.215,British Columbia (Ca)
8L.MG11.,8L,MG11,,DP,50.64925,-123.47657,1274.0,2019.189,2019.216,British Columbia (Ca)
8L.MG12.,8L,MG12,,DP,50.60435,-123.4879,1875.0,2019.19,2019.215,British Columbia (Ca)
8L.MG13.,8L,MG13,,DP,50.55408,-123.5088,1275.0,2019.188,2019.214,British Columbia (Ca)
8L.MG14.,8L,MG14,,DP,50.62062,-123.3905,404.0,2019.189,2019.262,British Columbia (Ca)
8L.MG15.,8L,MG15,,DP,50.62427,-123.53842,2326.0,2019.193,2019.218,British Columbia (Ca)
8L.MG16.,8L,MG16,,DP,50.63279,-123.56402,2299.0,2019.189,2019.214,British Columbia (Ca)
8L.MG17.,8L,MG17,,DP,50.68472,-123.45925,995.0,2019.19,2019.264,British Columbia (Ca)
8L.MG18.,8L,MG18,,DP,50.64873,-123.5298,1837.0,2019.189,2019.215,British Columbia (Ca)
8L.MG19.,8L,MG19,,DP,50.57404,-123.40156,1873.0,2019.19,2019.216,British Columbia (Ca)
8L.MG20.,8L,MG20,,DP,50.6149,-123.51068,1896.0,2019.19,2019.216,British Columbia (Ca)
8L.MG21.,8L,MG21,,DP,50.579068,-123.518038,1075.0,2019.239,2019.265,British Columbia (Ca)
8L.MG22.,8L,MG22,,DP,50.64381,-123.42794,457.0,2019.19,2019.264,British Columbia (Ca)
8L.MG23.,8L,MG23,,DP,50.62841,-123.40408,434.0,2019.189,2019.264,British Columbia (Ca)
8L.MG24.,8L,MG24,,DP,50.63169,-123.51539,2210.0,2019.19,2019.215,British Columbia (Ca)
8L.MG25.,8L,MG25,,DP,50.67159,-123.45297,975.0,2019.19,2019.264,British Columbia (Ca)
8L.MG26.,8L,MG26,,DP,50.61806,-123.57202,2320.0,2019.19,2019.216,British Columbia (Ca)
8L.MG27.,8L,MG27,,DP,50.61248,-123.38276,397.0,2019.191,2019.264,British Columbia (Ca)
8L.MG28.,8L,MG28,,DP,50.62561,-123.47639,2019.0,2019.189,2019.287,British Columbia (Ca)
8L.MG29.,8L,MG29,,DP,50.63884,-123.4142,458.0,2019.19,2019.262,British Columbia (Ca)
8L.MG30.,8L,MG30,,DP,50.54525,-123.54939,1430.0,2019.188,2019.215,British Columbia (Ca)
8L.MG31.,8L,MG31,,DP,50.65802,-123.44321,530.0,2019.19,2019.264,British Columbia (Ca)
8L.MG32.,8L,MG32,,DP,50.56797,-123.44536,1100.0,2019.188,2019.214,British Columbia (Ca)
8L.MG33.,8L,MG33,,DP,50.57565,-123.56944,940.0,2019.188,2019.214,British Columbia (Ca)
8L.MG34.,8L,MG34,,DP,50.59634,-123.57192,1511.0,2019.189,2019.216,British Columbia (Ca)
8L.MG35.,8L,MG35,,DP,50.63783,-123.52672,1943.0,2019.189,2019.214,British Columbia (Ca)
8L.MG36.,8L,MG36,,DP,50.6459,-123.54264,1478.0,2019.19,2019.214,British Columbia (Ca)
8L.MG37.,8L,MG37,,DP,50.61205,-123.53722,1851.0,2019.192,2019.218,British Columbia (Ca)
8L.MG38.,8L,MG38,,DP,50.62365,-123.4253,1018.0,2019.19,2019.198,British Columbia (Ca)
8L.MG39.,8L,MG39,,DP,50.60485,-123.44855,971.0,2019.189,2019.266,British Columbia (Ca)
8L.MG40.,8L,MG40,,DP,50.5621,-123.46964,760.0,2019.188,2019.213,British Columbia (Ca)
8L.MG41.,8L,MG41,,DP,50.66012,-123.50732,1536.0,2019.189,2019.195,British Columbia (Ca)
8L.MG42.,8L,MG42,,DP,50.68544,-123.52715,728.0,2019.189,2019.212,British Columbia (Ca)
8L.MG43.,8L,MG43,,DP,50.68297,-123.51312,740.0,2019.19,2019.266,British Columbia (Ca)
8L.MG44.,8L,MG44,,DP,50.56822,-123.53552,860.0,2019.19,2019.263,British Columbia (Ca)
8L.MG45.,8L,MG45,,DP,50.57728,-123.48107,1003.0,2019.19,2019.216,British Columbia (Ca)
8L.MG46.,8L,MG46,,DP,50.58015,-123.42284,1717.0,2019.19,2019.216,British Columbia (Ca)
8L.MG47.,8L,MG47,,DP,50.61831,-123.54012,2022.0,2019.192,2019.215,British Columbia (Ca)
8L.MG48.,8L,MG48,,DP,50.56578,-123.48325,718.0,2019.19,2019.217,British Columbia (Ca)
8L.MG49.,8L,MG49,,DP,50.58718,-123.38298,875.0,2019.19,2019.216,British Columbia (Ca)
8L.MG50.,8L,MG50,,DP,50.60378,-123.36972,393.0,2019.191,2019.267,British Columbia (Ca)
8L.MG51.,8L,MG51,,DP,50.60088,-123.35293,347.0,2019.191,2019.267,British Columbia (Ca)
8L.MG52.,8L,MG52,,DP,50.54021,-123.48535,763.0,2019.191,2019.265,British Columbia (Ca)
8L.MG53.,8L,MG53,,DP,50.55171,-123.47782,730.0,2019.191,2019.266,British Columbia (Ca)
8L.MG54.,8L,MG54,,DP,50.57605,-123.45898,584.0,2019.191,2019.268,British Columbia (Ca)
8L.MG55.,8L,MG55,,DP,50.5841,-123.34467,460.0,2019.191,2019.217,British Columbia (Ca)
8L.MG56.,8L,MG56,,DP,50.5789,-123.32178,374.0,2019.191,2019.214,British Columbia (Ca)
8L.MG57.,8L,MG57,,DP,50.58395,-123.53534,1755.0,2019.193,2019.219,British Columbia (Ca)
8L.MG58.,8L,MG58,,DP,50.64865,-123.03358,1207.0,2019.193,2019.216,British Columbia (Ca)
8L.MG59.,8L,MG59,,DP,50.624421,-123.480907,2051.0,2019.261,2019.288,British Columbia (Ca)
8L.MG60.,8L,MG60,,DP,50.624531,-123.480962,2049.0,2019.261,2019.288,British Columbia (Ca)
8L.RDG.,8L,RDG,,HH,50.6254,-123.4772,1979.0,2019.24,2019.3,British Columbia (Ca)
9H.10.,9H,10,,DP,40.761859,-111.856309,1000.0,2018.039,2018.073,Utah
9H.11.,9H,11,,DP,40.7619,-111.8613,1000.0,2018.039,2018.073,Utah
9H.118.,9H,118,,DP,40.733903,-111.870139,1308.0,2018.041,2018.079,Utah
9H.119.,9H,119,,DP,40.733952,-111.868804,1309.0,2018.041,2018.08,Utah
9H.12.,9H,12,,DP,40.736112,-111.812442,1526.0,2018.039,2018.073,Utah
9H.120.,9H,120,,DP,40.73355,-111.867707,1312.0,2018.041,2018.078,Utah
9H.121.,9H,121,,DP,40.733983,-111.867603,1311.0,2018.041,2018.078,Utah
9H.122.,9H,122,,DP,40.733058,-111.866483,1218.0,2018.041,2018.079,Utah
9H.123.,9H,123,,DP,40.733804,-111.864871,1321.0,2018.041,2018.079,Utah
9H.124.,9H,124,,DP,40.733143,-111.8647,1319.0,2018.041,2018.078,Utah
9H.125.,9H,125,,DP,40.733927,-111.864276,1317.0,2018.041,2018.078,Utah
